timestamp,accel_A-01_ms2,accel_A-02_ms2
0.0,0.026,0.004
0.02,0.097,-0.008
0.04,0.085,-0.02
0.06,0.021,0.021
0.08,0.184,0.004
0.1,0.101,-0.016
0.12,0.169,0.024
0.14,0.207,0.087
0.16,0.056,0.006
0.18,0.147,-0.042
0.2,0.152,0.077
0.22,0.122,0.003
0.24,0.213,-0.006
0.26,0.222,0.138
0.28,0.201,0.062
0.3,0.301,0.067
0.32,0.19,0.134
0.34,0.188,0.094
0.36,0.156,0.13
0.38,0.242,0.122
0.4,0.184,0.093
0.42,0.069,0.06
0.44,0.177,0.101
0.46,0.175,0.123
0.48,0.092,0.018
0.5,0.18,0.092
0.52,0.114,0.07
0.54,0.055,0.05
0.56,0.052,0.032
0.58,0.066,0.047
0.6,-0.016,0.04
0.62,0.042,0.111
0.64,0.027,0.079
0.66,-0.021,0.056
0.68,-0.096,0.073
0.7,-0.106,-0.038
0.72,-0.09,0.057
0.74,-0.177,0.024
0.76,-0.171,0.064
0.78,-0.16,0.079
0.8,-0.131,0.043
0.82,-0.174,-0.037
0.84,-0.146,0.044
0.86,-0.196,0.046
0.88,-0.132,0.051
0.9,-0.193,0.024
0.92,-0.189,-0.033
0.94,-0.219,0.116
0.96,-0.25,0.028
0.98,-0.107,0.091
1.0,-0.179,-0.022
1.02,-0.215,-0.05
1.04,-0.198,0.042
1.06,-0.182,-0.009
1.08,-0.134,0.018
1.1,-0.114,0.018
1.12,-0.16,0.008
1.14,-0.129,0.047
1.16,-0.025,-0.009
1.18,-0.102,-0.063
1.2,-0.018,0.01
1.22,0.034,-0.066
1.24,-0.031,0.0
1.26,-0.089,-0.068
1.28,-0.009,-0.153
1.3,0.021,0.033
1.32,0.002,-0.041
1.34,0.013,-0.052
1.36,0.108,-0.133
1.38,0.099,-0.105
1.4,0.177,-0.025
1.42,0.144,-0.097
1.44,0.127,-0.098
1.46,0.188,0.01
1.48,0.167,-0.014
1.5,0.159,-0.0
1.52,0.194,-0.183
1.54,0.168,-0.206
1.56,0.213,-0.206
1.58,0.194,-0.096
1.6,0.292,-0.008
1.62,0.209,-0.218
1.64,0.218,-0.068
1.66,0.155,-0.088
1.68,0.181,-0.127
1.7,0.128,-0.042
1.72,0.072,-0.118
1.74,0.196,-0.057
1.76,0.119,-0.13
1.78,0.129,-0.066
1.8,0.108,-0.044
1.82,0.043,-0.076
1.84,0.146,-0.17
1.86,0.061,-0.082
1.88,0.05,-0.128
1.9,-0.016,-0.006
1.92,-0.078,0.005
1.94,0.013,0.03
1.96,-0.105,-0.003
1.98,-0.126,-0.043
2.0,-0.016,-0.045
2.02,-0.21,-0.09
2.04,-0.078,0.05
2.06,-0.188,-0.009
2.08,-0.225,0.081
2.1,-0.15,0.001
2.12,-0.233,0.083
2.14,-0.24,-0.021
2.16,-0.318,0.015
